Ticket_ID,PSP_Code,Bereich,Titel,Beschreibung,Owner,Mitwirkende,Prioritaet,Aufwand_PT,Sprint_Start,Sprint_Ende,Abhaengigkeiten,Meilenstein,Lieferobjekt,Akzeptanzkriterien,Risiko,Status
S1-01,1.1,Projekt,Projektauftrag und Scope finalisieren,"Zielbild, Nicht-Ziele, Stakeholder, MVP-Rahmen und Entscheidungswege final abstimmen",PM / Tech Lead,Product,Muss,3,S1,S1,-,M1,Projektauftrag,"Projektauftrag von PM und Tech Lead freigegeben; Nicht-Ziele dokumentiert; Scope-Baseline versioniert",Scope-Wachstum,Offen
S1-02,1.2,Projekt,Fachlichen MVP-Scope fixieren,"Depots, Praeparate, Bestaende, Bewegungen, Reporting-Basis priorisieren und Must/Soll schneiden",Product,PM + Backend,Muss,4,S1,S1,S1-01,M1,MVP-Katalog,"MVP-Katalog mit Muss/Soll steht; offene Punkte als Backlog-Items erfasst; Stakeholder-Review erfolgt",Scope-Wachstum,Offen
S1-03,1.3,Projekt,Rollen- und Rechtebild V1 erstellen,"Fachrollen, Rechte auf Kernobjekte und kritische Aktionen (Lesen/Schreiben/Export) definieren",Product + Backend,QA,Muss,3,S1,S1,S1-02,M1,Rollenmatrix V1,"Rollenmatrix inkl. Admin/User-Rechten freigegeben; kritische Aktionen abgedeckt; offene Konflikte dokumentiert",Sicherheitsluecken,Offen
S1-04,1.4,Architektur,Zielarchitektur V1 freigeben,"Server, Web, Desktop und Hybrid-Betriebsgrenzen samt Schnittstellen und Verantwortlichkeiten festlegen",Tech Lead / Architect,Backend + Desktop + Web,Muss,4,S1,S1,S1-01,M1,Architekturuebersicht,"Kontextdiagramm vorhanden; Modulgrenzen und Verantwortlichkeiten dokumentiert; Architekturentscheidung freigegeben",Architekturdrift,Offen
S1-05,1.6,Architektur,ADR-001 AuthN/AuthZ Entscheidung,"Session vs Token, Rollenpruefung und Passwort-/Login-Policy fuer Serverbetrieb verbindlich entscheiden",Tech Lead / Backend,Product,Soll,2,S1,S1,S1-03|S1-04,M2,ADR-001,"ADR ist versioniert; Entscheidung begruendet; Auswirkungen auf API und Clients benannt",Spaete API-Aenderungen,Offen
S1-06,1.6,Architektur,ADR-002 ID- und Versionierungsstrategie,"UUID/Integer-Strategie, Optimistic Locking und Änderungsversionen fuer Sync-Faehigkeit festlegen",Tech Lead / Backend,Desktop,Soll,2,S1,S1,S1-04,M2,ADR-002,"ID-Strategie und Versionierungsregeln freigegeben; Konfliktfaelle dokumentiert",Sync-Komplexitaet,Offen
S1-07,2.4,API,OpenAPI Skeleton fuer Kernmodule erstellen,"API-Namensraum, DTO-Basics, Fehlerobjekt, Pagination und Filterkonventionen als V0 definieren",Backend Lead,Web + Desktop,Muss,3,S1,S1,S1-04|S1-05,M2,OpenAPI-Skeleton V0,"OpenAPI-Datei validiert; Endpunkt-Stubs fuer Auth/Depots/Praeparate vorhanden; Review mit Web/Desktop erfolgt",API-Drift,Offen
S1-08,2.6,Daten,Migrationspfad SQLite -> PostgreSQL konzipieren,"Tabellenmapping, Datentyp-Mapping, Initial-Seed und Upgradepfad inklusive Rollback-Ansatz definieren",Backend,DevOps,Soll,2,S1,S1,S1-04,M2,Migrationskonzept V0,"Mapping-Dokument liegt vor; kritische Felder und Constraints bewertet; Rollback-Prinzip beschrieben",Migrationsrisiko,Offen
S1-09,7.1,QA,Definition of Ready und Done operationalisieren,"DoR/DoD aus Plan in Ticket-Templates und Review-Checklisten ueberfuehren",QA / Tech Lead,PM,Soll,1,S1,S1,S1-01,M1,Arbeitsvereinbarung V1,"DoR/DoD Checklisten sind im Repo/Tool verfuegbar; Team-Review abgeschlossen",Qualitaetsabweichung,Offen
S1-10,1.7,Projekt,Backlog V2 fuer Sprint 2 vorbereiten,"Abhaengigkeiten fuer Architektur, Domain Model und API so schneiden, dass S2 ohne Blocker starten kann",PM / Tech Lead,Alle Leads,Muss,2,S1,S1,S1-01|S1-02|S1-04,M1,Backlog V2,"S2-Tickets sind sprintfaehig (Owner, Aufwand, Akzeptanzkriterien, Abhaengigkeiten); Prioritaeten freigegeben",Planungsstau,Offen
